name,height_m,height_ft,grid_ref,grid_ref_xy,xcoord,ycoord,munro_id
Sgurr Mor,1108.9,3638,NH203718,NH 20323 71818,220323,871818,253
Beinn Liath Mhor Fannaich,954,3130,NH219724,NH 21960 72410,221960,872410,254
Meall Gorm,949.7,3116,NH221695,NH 22192 69584,222192,869584,255
An Coileachan,924,3031,NH241680,NH 24172 68024,224172,868024,256
Fionn Bheinn,933,3061,NH147621,NH 14749 62149,214749,862149,257
Am Faochagach,953,3127,NH303793,NH 30361 79372,230361,879372,258
Cona' Mheall,978,3209,NH275816,NH 27509 81642,227509,881642,259
Beinn Dearg,1084,3556,NH259811,NH 25933 81183,225933,881183,260
Meall nan Ceapraichean,977,3205,NH257825,NH 25727 82548,225727,882548,261
Eididh nan Clach Geala,927,3041,NH257842,NH 25788 84216,225788,884216,262
Seana Bhraigh,926,3038,NH281878,NH 28181 87884,228181,887884,263
Glas Leathad Mor (Ben Wyvis),1046,3432,NH462683,NH 46297 68379,246297,868379,264
Ben Hope,927,3041,NC477501,NC 47750 50151,247750,950151,265
Ben Klibreck - Meall nan Con,962.1,3156,NC585299,NC 58530 29921,258530,929921,266
Ben More Assynt,998,3274,NC318201,NC 31830 20150,231830,920150,267
Conival,987,3238,NC303199,NC 30330 19938,230330,919938,268
Sgurr nan Gillean,966.1,3170,NG471252,NG 47157 25296,147157,825296,269
Am Basteir,934,3064,NG465253,NG 46564 25302,146564,825302,270
Bruach na Frithe,958.8,3146,NG460251,NG 46085 25198,146085,825198,271
Sgurr a' Mhadaidh,918,3012,NG447235,NG 44700 23512,144700,823512,272
Sgurr a' Ghreadaidh,972.1,3189,NG445231,NG 44525 23126,144525,823126,273
Sgurr na Banachdich,965,3166,NG440224,NG 44046 22448,144046,822448,274
Sgurr Dearg - Inaccessible Pinnacle,985.8,3234,NG444215,NG 44404 21564,144404,821564,275
Sgurr Mhic Choinnich,948.1,3111,NG450210,NG 45020 21043,145020,821043,276
Sgurr Alasdair,992,3255,NG450207,NG 45000 20783,145000,820783,277
Sgurr Dubh Mor,944,3097,NG457205,NG 45758 20547,145758,820547,278
Sgurr nan Eag,926.3,3039,NG457195,NG 45705 19536,145705,819536,279
Blabheinn [Bla Bheinn],929,3048,NG529217,NG 52990 21743,152990,821743,280
Ben More,966,3169,NM525330,NM 52576 33078,152576,733078,281
